버스정류장ARS번호,승차총승객수,하차총승객수,승하차총승객수
1714,57,203,260
1720,4251,5942,10193
1721,720,2993,3713
1723,178,526,704
1724,256,612,868
1725,31900,11551,43451
1727,653,100,753
1728,523,9907,10430
1729,158,3076,3234
1732,113,301,414
1763,26085,13386,39471
1776,1848,1653,3501
1790,4942,660,5602
1791,80,78,158
1792,212,6560,6772
1793,479,8906,9385
1794,17731,16513,34244
1795,190,367,557
1796,2703,6097,8800
1797,14385,8199,22584
1798,176,88,264
1799,22,163,185
1800,70,8744,8814
1801,108,8292,8400
1802,92,218,310
1803,7869,6426,14295
1804,5005,3122,8127
1805,26711,3140,29851
1807,35,6145,6180
1809,50,106,156
1810,902,668,1570
1812,1103,3674,4777
1814,16,4106,4122
1815,2223,3678,5901
1816,75,147,222
1817,3533,4819,8352
1819,246,1141,1387
1820,299,750,1049
1821,1053,889,1942
1823,87,78,165
1824,1375,2592,3967
1825,1840,2591,4431
1826,509,2597,3106
1827,285,1055,1340
1829,783,25,808
1830,324,728,1052
1831,706,1010,1716
1832,2518,2861,5379
1833,420,7859,8279
1835,1379,46,1425
1836,373,125,498
1837,33,533,566
1839,154,4108,4262
1840,1049,59,1108
1841,11796,5531,17327
1842,86,92,178
1843,142,1259,1401
1844,3109,7259,10368
1845,110,4106,4216
1846,7101,147,7248
1847,1951,9819,11770
1849,347,4190,4537
1850,1571,10242,11813
1851,362,10669,11031
1852,1336,13658,14994
1855,149,6864,7013
1856,8,758,766
1858,238,9860,10098
1860,49,3283,3332
1861,343,160,503
1862,1882,17463,19345
1863,102,413,515
1864,485,20717,21202
1865,255,1631,1886
1866,49,6688,6737
1868,943,1361,2304
1869,39,3122,3161
1870,32,97,129
1872,24,326,350
1873,187,1434,1621
1874,162,368,530
1876,8269,38793,47062
1877,1662,4199,5861
1878,47,1878,1925
1879,4026,4411,8437
1881,9206,21379,30585
1882,7233,1618,8851
1883,1242,807,2049
1887,13119,22755,35874
1888,11120,2369,13489
1889,3482,776,4258
2001,65118,59680,124798
2002,114248,103909,218157
2003,10062,35645,45707
2004,140550,129912,270462
2005,76321,98382,174703
2006,127946,145046,272992
2007,57222,69534,126756
2008,46658,33632,80290
2099,107,11963,12070
2101,36215,27536,63751
2102,17242,19661,36903
2103,32163,10520,42683
2104,23183,10738,33921
2105,10551,23591,34142
2106,9307,13652,22959
2107,22221,18883,41104
2108,7300,11250,18550
2109,9862,8569,18431
2110,60606,61769,122375
2113,72183,23131,95314
2116,16381,7808,24189
2117,3676,1998,5674
2118,22355,10939,33294
2120,4486,7701,12187
2121,7078,520,7598
2122,35177,52317,87494
2123,30425,5402,35827
2124,3972,38686,42658
2125,23347,2166,25513
2126,9737,10177,19914
2127,102560,69036,171596
2128,51624,82224,133848
2131,38953,35099,74052
2132,16964,7728,24692
2133,22867,22702,45569
